Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
James Clerk Maxwell,UK,Mathematics,173,Quantum Mechanics,1991,Female,Schrödinger Equation,Nobel Prize,Self-taught,Iconic Renaissance artist and inventor
Roger Penrose,France,Physics,192,Black Hole Theory,1931,Female,Theory of Electromagnetism,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Nikola Tesla,USA,Mathematics,175,Cosmos Series,1953,Female,Vitruvian Man,N/A,Ph.D. in Physics,Pioneering research in radioactivity
Richard Feynman,UK,Physics,146,Electromagnetic Induction,1959,Male,Feynman Lectures,Pulitzer Prize,Ph.D. in Physics,Iconic Renaissance artist and inventor
Marie Curie,Germany,Polymath,154,"Mona Lisa, The Last Supper, Inventions",1918,Male,Bohr Model,Pulitzer Prize,University of Pisa,Pioneering research in radioactivity
Alan Turing,UK,Physics,164,Nuclear Reactor,1933,Female,Feynman Lectures,Nobel Prize,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Alan Turing,Italy,Physics,185,"AC Electricity, Tesla Coil",1990,Male,Research on radioactivity,Royal Medal,Ph.D. in Physics,Foundation of classical mechanics
James Clerk Maxwell,UK,Chemistry,159,Cosmos Series,1978,Female,Fermi Paradox,Nobel Prize,University of Cambridge,Nuclear physics and reactor development
Stephen Hawking,UK,Physics,197,Father of Computer Science,1994,Female,A Brief History of Time,N/A,University of Cambridge,Major advancements in astronomy
Stephen Hawking,France,Physics,134,Wave Equation,1963,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Self-taught,Foundation of classical mechanics
Niels Bohr,USA,Astronomy,175,Black Hole Theory,1904,Female,Schrödinger Equation,Nobel Prize,Ph.D. (honorary),Popularizing science and cosmology
Ada Lovelace,USA,Mathematics,136,Nuclear Reactor,1969,Female,Cosmos,Pulitzer Prize,Self-taught,Laid the groundwork for modern computing
Isaac Newton,UK,Physics,132,"AC Electricity, Tesla Coil",1905,Female,Dialogue Concerning the Two Chief World Systems,Two Nobel Prizes,Ph.D. in Mathematics,Evolutionary biology pioneer
Max Planck,USA,Engineering,169,General Theory of Relativity,1986,Male,Theory of Electromagnetism,Two Nobel Prizes,Ph.D. in Mathematics,Early pioneer of computer science
Carl Sagan,UK,Astronomy,188,Quantum Mechanics,1961,Female,Quantum Theory,Numerous Posthumous,Ph.D. in Mathematics,Developed quantum theory
Isaac Newton,Italy,Chemistry,186,Laws of Motion,1953,Male,Quantum Theory,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Charles Darwin,UK,Polymath,172,Electromagnetic Theory,1926,Female,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Stephen Hawking,USA,Physics,132,Wave Equation,1980,Male,Penrose Diagram,N/A,Ph.D. in Physics,Evolutionary biology pioneer
Erwin Schrödinger,Denmark,Physics,188,First computer algorithm,1992,Female,Fermi Paradox,N/A,Self-taught,Early pioneer of computer science
Isaac Newton,UK,Physics,177,Laws of Motion,1971,Male,Notes on the Analytical Engine,N/A,Ph.D. in Chemistry,Inventor and electrical engineering pioneer
Niels Bohr,USA,Physics,199,Wave Equation,1908,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Mathematics,Contributions to cosmology and quantum gravity
Isaac Newton,USA,Physics,163,Nuclear Reactor,1948,Male,On Computable Numbers,N/A,Ph.D. in Physics,Unified theory of electromagnetism
Paul Dirac,Germany,Biology,132,Quantum Electrodynamics,1903,Female,Discovery of Electromagnetic Induction,Two Nobel Prizes,Self-taught,Foundation of classical mechanics
Isaac Newton,UK,Physics,187,First computer algorithm,1933,Male,Cosmos,N/A,University of Cambridge,Contributions to cosmology and quantum gravity
Isaac Newton,France,Mathematics,160,Quantum Mechanics,1964,Male,Quantum Theory,N/A,Ph.D. in Chemistry,Pioneering research in radioactivity
Charles Darwin,UK,Mathematics,137,Quantum Mechanics,1952,Male,Vitruvian Man,N/A,Ph.D. in Astronomy,Evolutionary biology pioneer
Nikola Tesla,UK,Physics,166,General Theory of Relativity,1910,Male,A Brief History of Time,Nobel Prize,Ph.D. in Mathematics,Early pioneer of computer science
Paul Dirac,Denmark,Physics,153,Heliocentric Theory,1949,Male,Notes on the Analytical Engine,Nobel Prize,Self-taught,Popularizing science and cosmology
Alan Turing,UK,Polymath,180,Quantum Electrodynamics,1985,Female,Cosmos,N/A,University of Pisa,Discovery of electromagnetic induction
Galileo Galilei,USA,Physics,197,Electromagnetic Theory,1939,Female,Vitruvian Man,Nobel Prize,Ph.D. in Astronomy,Laid the groundwork for modern computing
Paul Dirac,UK,Engineering,149,"AC Electricity, Tesla Coil",1900,Male,Research on radioactivity,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Ada Lovelace,Denmark,Physics,169,Cosmos Series,1906,Female,Various Patents,N/A,University of Pisa,Major advancements in astronomy
Alan Turing,UK,Physics,193,General Theory of Relativity,1952,Female,Quantum Theory,Nobel Prize,Self-taught,Evolutionary biology pioneer
Isaac Newton,USA,Mathematics,177,Nuclear Reactor,1924,Female,Penrose Diagram,Numerous Posthumous,Ph.D. in Physics,Penrose's work on black holes and cosmology
Albert Einstein,Italy,Physics,164,Theory of Evolution,1947,Female,Theory of Electromagnetism,Nobel Prize,University of Pisa,Major advancements in astronomy
Max Planck,UK,Physics,172,Black Hole Theory,1917,Male,Schrödinger Equation,Royal Medal,Ph.D. in Physics,Early pioneer of computer science
Paul Dirac,UK,Physics,175,"Mona Lisa, The Last Supper, Inventions",1924,Male,E=mc²,N/A,Self-taught,Wave mechanics in quantum physics
James Clerk Maxwell,UK,Astronomy,169,"AC Electricity, Tesla Coil",2000,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Enrico Fermi,UK,Mathematics,188,Nuclear Reactor,1931,Female,On the Origin of Species,Royal Medal,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Stephen Hawking,UK,Physics,177,Quantum Mechanics,1937,Female,Various Patents,N/A,Ph.D. in Mathematics,Quantum electrodynamics and physics teaching
Isaac Newton,UK,Mathematics,131,Discovery of Radium and Polonium,1929,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Revolutionized modern physics
Marie Curie,UK,Astronomy,162,Father of Computer Science,1995,Male,Dialogue Concerning the Two Chief World Systems,Two Nobel Prizes,University of Pisa,Foundational work in quantum mechanics
Enrico Fermi,Italy,Mathematics,173,Electromagnetic Theory,1941,Female,On the Origin of Species,Two Nobel Prizes,Ph.D. in Physics,Wave mechanics in quantum physics
Alan Turing,USA,Mathematics,175,Quantum Theory,1909,Male,Dialogue Concerning the Two Chief World Systems,Numerous Honors,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Richard Feynman,France,Mathematics,196,Black Hole Theory,1955,Female,Cosmos,N/A,Ph.D. in Astronomy,Developed quantum theory
Nikola Tesla,USA,Mathematics,148,"AC Electricity, Tesla Coil",1901,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Chemistry,Iconic Renaissance artist and inventor
Niels Bohr,UK,Physics,142,Father of Computer Science,1987,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Evolutionary biology pioneer
Carl Sagan,UK,Physics,156,Cosmos Series,1919,Female,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Pioneering research in radioactivity
Marie Curie,USA,Physics,200,Electromagnetic Theory,1923,Female,Schrödinger Equation,Royal Medal,Ph.D. in Physics,Major advancements in astronomy
Stephen Hawking,USA,Chemistry,180,General Theory of Relativity,1989,Female,Various Patents,Numerous Honors,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Carl Sagan,UK,Mathematics,144,"AC Electricity, Tesla Coil",1909,Male,Research on radioactivity,Nobel Prize,University of Cambridge,Quantum electrodynamics and physics teaching
Max Planck,UK,Engineering,175,Quantum Mechanics,1906,Female,Various Patents,Nobel Prize,Ph.D. in Physics,Penrose's work on black holes and cosmology
Michael Faraday,UK,Physics,135,Discovery of Radium and Polonium,1971,Female,On the Origin of Species,N/A,Ph.D. in Physics,Pioneering research in radioactivity
Alan Turing,UK,Physics,199,Theory of Relativity,1928,Male,On the Origin of Species,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Michael Faraday,UK,Chemistry,150,Nuclear Reactor,1999,Male,E=mc²,Numerous Honors,Ph.D. in Physics,Foundational work in quantum mechanics
Albert Einstein,UK,Physics,174,Theory of Relativity,1904,Female,Dialogue Concerning the Two Chief World Systems,Copley Medal,Ph.D. in Physics,Laid the groundwork for modern computing
Erwin Schrödinger,Germany,Physics,190,Wave Equation,1925,Female,A Brief History of Time,Numerous Honors,Self-taught,Pioneering research in radioactivity
Nikola Tesla,UK,Physics,154,Quantum Mechanics,1954,Male,Philosophiæ Naturalis Principia Mathematica,Pulitzer Prize,Self-taught,Revolutionized modern physics
Richard Feynman,UK,Physics,149,Quantum Mechanics,1917,Male,Notes on the Analytical Engine,Nobel Prize,University of Pisa,Discovery of electromagnetic induction
Niels Bohr,UK,Chemistry,195,"AC Electricity, Tesla Coil",1973,Male,Research on radioactivity,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Charles Darwin,UK,Physics,133,Theory of Evolution,1915,Male,Various Patents,Nobel Prize,Ph.D. in Physics,Iconic Renaissance artist and inventor
Marie Curie,USA,Physics,131,General Theory of Relativity,1972,Male,Various Patents,Nobel Prize,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Marie Curie,Austria,Mathematics,171,General Theory of Relativity,1978,Female,Dirac Equation,Nobel Prize,Ph.D. in Physics,Iconic Renaissance artist and inventor
Erwin Schrödinger,UK,Physics,150,Black Hole Theory,1924,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. in Chemistry,Discovery of electromagnetic induction
Charles Darwin,USA,Biology,164,First computer algorithm,1947,Male,Theory of Electromagnetism,N/A,Ph.D. in Chemistry,Revolutionized modern physics
Leonardo da Vinci,UK,Physics,159,Cosmos Series,1925,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Roger Penrose,Italy,Physics,135,Wave Equation,1942,Male,Schrödinger Equation,Nobel Prize,Ph.D. in Mathematics,Developed quantum theory
Michael Faraday,Italy,Biology,130,Cosmos Series,1900,Female,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Major advancements in astronomy
Alan Turing,USA,Physics,178,Cosmos Series,1998,Female,On Computable Numbers,Nobel Prize,Ph.D. (honorary),Penrose's work on black holes and cosmology
Marie Curie,USA,Physics,175,Cosmos Series,1984,Female,Various Patents,N/A,Ph.D. in Mathematics,Foundational work in quantum mechanics
Nikola Tesla,UK,Astronomy,166,"AC Electricity, Tesla Coil",1919,Female,Dirac Equation,N/A,Self-taught,Unified theory of electromagnetism
Paul Dirac,USA,Physics,153,Theory of Evolution,1955,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
James Clerk Maxwell,Italy,Astronomy,194,Quantum Mechanics,1995,Female,Theory of Electromagnetism,Nobel Prize,Self-taught,Evolutionary biology pioneer
Roger Penrose,UK,Astronomy,155,Theory of Evolution,1993,Female,Cosmos,Nobel Prize,University of Cambridge,Iconic Renaissance artist and inventor
Albert Einstein,UK,Mathematics,138,Wave Equation,1997,Male,Research on radioactivity,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Alan Turing,USA,Physics,188,Cosmos Series,1972,Male,Feynman Lectures,Numerous Posthumous,Self-taught,Wave mechanics in quantum physics
Galileo Galilei,UK,Astronomy,179,Quantum Mechanics,1973,Male,Cosmos,Numerous Honors,University of Pisa,Iconic Renaissance artist and inventor
Enrico Fermi,USA,Astronomy,136,Heliocentric Theory,1921,Female,Quantum Theory,Numerous Honors,Ph.D. in Physics,Popularizing science and cosmology
Leonardo da Vinci,Italy,Physics,159,Heliocentric Theory,1930,Male,On the Origin of Species,Numerous Honors,Ph.D. (honorary),Pioneering research in radioactivity
Charles Darwin,UK,Polymath,195,Nuclear Reactor,1969,Female,Notes on the Analytical Engine,N/A,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Nikola Tesla,Italy,Mathematics,141,Electromagnetic Induction,1985,Male,Discovery of Electromagnetic Induction,Numerous Posthumous,University of Pisa,Popularizing science and cosmology
Erwin Schrödinger,Austria,Physics,130,Electromagnetic Theory,1974,Female,On Computable Numbers,Numerous Honors,Ph.D. in Mathematics,Revolutionized modern physics
Enrico Fermi,Italy,Physics,192,Theory of Evolution,1969,Male,Research on radioactivity,Numerous Posthumous,Ph.D. in Mathematics,Popularizing science and cosmology
Niels Bohr,UK,Physics,172,First computer algorithm,1970,Female,On the Origin of Species,Nobel Prize,Self-taught,Foundational work in quantum mechanics
James Clerk Maxwell,UK,Physics,131,Discovery of Radium and Polonium,1906,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D.,Early pioneer of computer science
Isaac Newton,UK,Physics,166,First computer algorithm,1902,Male,Penrose Diagram,Numerous Honors,Ph.D. in Chemistry,Wave mechanics in quantum physics
Leonardo da Vinci,Italy,Physics,180,Nuclear Reactor,1911,Female,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Roger Penrose,Germany,Engineering,147,Heliocentric Theory,1924,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. (honorary),Penrose's work on black holes and cosmology
Michael Faraday,UK,Chemistry,192,"Mona Lisa, The Last Supper, Inventions",1950,Female,Quantum Theory,N/A,Ph.D.,Popularizing science and cosmology
Michael Faraday,UK,Physics,154,Wave Equation,1960,Male,Penrose Diagram,N/A,Ph.D. (honorary),Developed quantum theory
Leonardo da Vinci,Germany,Physics,148,General Theory of Relativity,1911,Male,Various Patents,Nobel Prize,Ph.D. (honorary),Contributions to cosmology and quantum gravity
Erwin Schrödinger,UK,Astronomy,160,"AC Electricity, Tesla Coil",1941,Male,E=mc²,N/A,Self-taught,Laid the groundwork for modern computing
James Clerk Maxwell,Austria,Polymath,185,Cosmos Series,1995,Male,Schrödinger Equation,N/A,Ph.D.,Laid the groundwork for modern computing
Enrico Fermi,USA,Physics,194,"AC Electricity, Tesla Coil",1988,Male,On Computable Numbers,Royal Medal,University of Cambridge,Major advancements in astronomy
Paul Dirac,UK,Physics,166,Electromagnetic Theory,1972,Male,Penrose Diagram,Nobel Prize,Self-taught,Iconic Renaissance artist and inventor
Paul Dirac,USA,Physics,134,Wave Equation,1983,Male,Research on radioactivity,Numerous Honors,Ph.D. in Chemistry,Laid the groundwork for modern computing
Richard Feynman,UK,Physics,156,"Mona Lisa, The Last Supper, Inventions",1967,Female,Vitruvian Man,Nobel Prize,Ph.D. in Astronomy,Contributions to cosmology and quantum gravity
Marie Curie,USA,Mathematics,143,Quantum Mechanics,1976,Female,Cosmos,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Paul Dirac,USA,Engineering,189,Quantum Mechanics,1982,Male,Dirac Equation,Numerous Posthumous,Ph.D. in Physics,Foundational work in quantum mechanics
Carl Sagan,UK,Physics,184,Quantum Theory,1938,Female,Cosmos,Nobel Prize,Self-taught,Wave mechanics in quantum physics
Charles Darwin,USA,Biology,130,Electromagnetic Induction,1991,Female,Bohr Model,N/A,University of Cambridge,Foundational work in quantum mechanics
Galileo Galilei,USA,Mathematics,166,Electromagnetic Induction,1948,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. (honorary),Penrose's work on black holes and cosmology
James Clerk Maxwell,USA,Physics,163,First computer algorithm,1967,Female,Bohr Model,Nobel Prize,Ph.D. in Mathematics,Quantum electrodynamics and physics teaching
Richard Feynman,France,Physics,134,Quantum Mechanics,1972,Male,Vitruvian Man,Royal Medal,Ph.D. in Astronomy,Wave mechanics in quantum physics
Carl Sagan,UK,Physics,187,Quantum Theory,1942,Female,Schrödinger Equation,Nobel Prize,Ph.D. in Mathematics,Foundation of classical mechanics
Nikola Tesla,UK,Physics,140,Cosmos Series,1941,Female,On the Origin of Species,Nobel Prize,Self-taught,Evolutionary biology pioneer
Marie Curie,Denmark,Chemistry,151,Theory of Evolution,1974,Male,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
Ada Lovelace,UK,Engineering,197,Father of Computer Science,1913,Male,Discovery of Electromagnetic Induction,N/A,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Enrico Fermi,USA,Engineering,144,General Theory of Relativity,1907,Male,Penrose Diagram,Nobel Prize,Ph.D. in Mathematics,Foundation of classical mechanics
Richard Feynman,USA,Astronomy,160,Quantum Mechanics,1954,Male,A Brief History of Time,Nobel Prize,Self-taught,Contributions to cosmology and quantum gravity
Galileo Galilei,Italy,Physics,197,Wave Equation,1942,Male,Cosmos,Nobel Prize,Ph.D. in Chemistry,Pioneering research in radioactivity
Galileo Galilei,USA,Physics,135,Theory of Relativity,1985,Male,Dirac Equation,Royal Medal,Ph.D.,Inventor and electrical engineering pioneer
